QueryORF	QueryGene	ExperimentOutcome	PredictionScore	Literature	FinalCategory
YML114C	TAF8	Indispensable	0,41		Core
YML125C	PGA3	Indispensable	0,63		Core
YML126C	ERG13		0,37		Core
YML127W	RSC9	Indispensable	0,36		Core
YML130C	ERO1		0,36		Core
YMR001C	CDC5		0,48		Core
YMR005W	TAF4		0,37		Core
YMR013C	SEC59	Indispensable	0,49		Core
YMR043W	MCM1		0,41		Core
YMR049C	ERB1	Indispensable	0,11		Core
YMR059W	SEN15	Indispensable	0,40		Core
YMR061W	RNA14		0,21		Core
YMR076C	PDS5	Indispensable	0,65		Core
YMR093W	UTP15	Indispensable	0,24		Core
YMR112C	MED11	Indispensable	0,44		Core
YMR113W	FOL3	Indispensable	0,57		Core
YMR117C	SPC24	Indispensable	0,39		Core
YMR128W	ECM16		0,18		Core
YMR131C	RRB1	Indispensable	0,18		Core
YMR146C	TIF34	Indispensable	0,21		Core
YMR149W	SWP1	Indispensable	0,36		Core
YMR168C	CEP3	Indispensable	0,56		Core
YMR203W	TOM40	Indispensable	0,29		Core
YMR208W	ERG12	Indispensable	0,34		Core
YMR213W	CEF1	Indispensable	0,25		Core
YMR220W	ERG8	Indispensable	0,56		Core
YMR227C	TAF7	Indispensable	0,44		Core
YMR229C	RRP5	Indispensable	0,10		Core
YMR235C	RNA1	Indispensable	0,38		Core
YMR236W	TAF9	Indispensable	0,41		Core
YMR240C	CUS1	Indispensable	0,18		Core
YMR260C	TIF11	Indispensable	0,44		Core
YMR268C	PRP24	Indispensable	0,36		Core
YMR277W	FCP1	Indispensable	0,48		Core
YMR281W	GPI12	Indispensable	0,41		Core
YMR288W	HSH155	Indispensable	0,17		Core
YMR290C	HAS1	Indispensable	0,08		Core
YMR301C	ATM1	Indispensable	0,51		Core
YMR309C	NIP1	Indispensable	0,16		Core
YMR314W	PRE5	Indispensable	0,20		Core
YNL002C	RLP7	Indispensable	0,16		Core
YNL026W	SAM50	Indispensable	0,41		Core
YNL038W	GPI15	Indispensable	0,47		Core
YNL039W	BDP1	Indispensable	0,30		Core
YNL061W	NOP2	Indispensable	0,09		Core
YNL062C	GCD10		0,41		Core
YNL075W	IMP4		0,23		Core
YNL088W	TOP2	Indispensable	0,45		Core
YNL102W	POL1		0,31		Core
YNL110C	NOP15	Indispensable	0,28		Core
YNL112W	DBP2	Indispensable	0,17		Core
YNL113W	RPC19	Indispensable	0,17		Core
YNL124W	NAF1	Indispensable	0,33		Core
YNL126W	SPC98	Indispensable	0,29		Core
YNL131W	TOM22		0,36		Core
YNL132W	KRE33	Indispensable	0,30		Core
YNL138W-A	YSF3		0,44		Core
YNL149C	PGA2	Indispensable	0,68		Core
YNL151C	RPC31	Indispensable	0,30		Core
YNL158W	PGA1		0,47		Core
YNL162W	RPL42A		0,44		Core
YNL172W	APC1	Indispensable	0,39		Core
YNL178W	RPS3	Indispensable	0,15		Core
YNL182C	IPI3	Indispensable	0,16		Core
YNL189W	SRP1	Indispensable	0,42		Core
YNL207W	RIO2	Indispensable	0,36		Core
YNL216W	RAP1		0,49		Core
YNL221C	POP1	Indispensable	0,21		Core
YNL222W	SSU72	Indispensable	0,47		Core
YNL232W	CSL4	Indispensable	0,44		Core
YNL240C	NAR1	Indispensable	0,74		Core
YNL244C	SUI1	Indispensable	0,52		Core
YNL245C	CWC25	Indispensable	0,37		Core
YNL247W	CRS1	Indispensable	0,23		Core
YNL251C	NRD1	Indispensable	0,39		Core
YNL256W	FOL1	Indispensable	0,48		Core
YNL260C	YNL260C	Indispensable	0,72		Core
YNL261W	ORC5	Indispensable	0,19		Core
YNL262W	POL2	Indispensable	0,31		Core
YNL272C	SEC2	Indispensable	0,55		Core
YNL280C	ERG24		0,49		Core
YNL282W	POP3	Indispensable	0,24		Core
YNL287W	SEC21		0,34		Core
YNL290W	RFC3		0,29		Core
YNL308C	KRI1	Indispensable	0,40		Core
YNL310C	ZIM17	Indispensable	0,67		Core
YNL312W	RFA2		0,32		Core
YNL313C	EMW1	Indispensable	0,32		Core
YNL317W	PFS2	Indispensable	0,12		Core
YNR003C	RPC34		0,16		Core
YNR011C	PRP2	Indispensable	0,29		Core
YNR016C	ACC1		0,46		Core
YNR017W	TIM23		0,33		Core
YNR026C	SEC12	Indispensable	0,46		Core
YNR035C	ARC35	Indispensable	0,27		Core
YNR038W	DBP6	Indispensable	0,28		Core
YNR043W	MVD1		0,37		Core
YNR053C	NOG2	Indispensable	0,29		Core
YNR054C	ESF2	Indispensable	0,24		Core
YOL005C	RPB11	Indispensable	0,33		Core
YOL021C	DIS3	Indispensable	0,16		Core
YOL038W	PRE6	Indispensable	0,36		Core
YOL040C	RPS15	Indispensable	0,33		Core
YOL066C	RIB2	Indispensable	0,64		Core
YOL069W	NUF2	Indispensable	0,39		Core
YOL077C	BRX1	Indispensable	0,13		Core
YOL094C	RFC4	Indispensable	0,32		Core
YOL097C	WRS1	Indispensable	0,25		Core
YOL102C	TPT1	Indispensable	0,34		Core
YOL123W	HRP1	Indispensable	0,51		Core
YOL127W	RPL25	Indispensable	0,61		Core
YOL133W	HRT1		0,36		Core
YOL135C	MED7	Indispensable	0,46		Core
YOL139C	CDC33	Indispensable	0,31		Core
YOL144W	NOP8		0,37		Core
YOL146W	PSF3	Indispensable	0,32		Core
YOR004W	UTP23	Indispensable	0,27		Core
YOR046C	DBP5	Indispensable	0,32		Core
YOR048C	RAT1	Indispensable	0,18		Core
YOR056C	NOB1	Indispensable	0,26		Core
YOR057W	SGT1	Indispensable	0,59		Core
YOR063W	RPL3	Indispensable	0,25		Core
YOR075W	UFE1	Indispensable	0,56		Core
YOR095C	RKI1	Indispensable	0,28		Core
YOR103C	OST2	Indispensable	0,36		Core
YOR116C	RPO31	Indispensable	0,22		Core
YOR117W	RPT5	Indispensable	0,19		Core
YOR119C	RIO1	Indispensable	0,39		Core
YOR143C	THI80		0,37		Core
YOR145C	PNO1	Indispensable	0,20		Core
YOR148C	SPP2	Indispensable	0,36		Core
YOR149C	SMP3		0,41		Core
YOR151C	RPB2	Indispensable	0,22		Core
YOR157C	PUP1		0,28		Core
YOR159C	SME1	Indispensable	0,30		Core
YOR168W	GLN4	Indispensable	0,17		Core
YOR174W	MED4		0,39		Core
YOR176W	HEM15		0,31		Core
YOR194C	TOA1		0,42		Core
YOR206W	NOC2	Indispensable	0,15		Core
YOR207C	RET1	Indispensable	0,33		Core
YOR210W	RPB10		0,29		Core
YOR217W	RFC1	Indispensable	0,31		Core
YOR224C	RPB8		0,27		Core
YOR232W	MGE1	Indispensable	0,40		Core
YOR249C	APC5		0,30		Core
YOR250C	CLP1	Indispensable	0,24		Core
YOR254C	SEC63	Indispensable	0,55		Core
YOR257W	CDC31		0,36		Core
YOR259C	RPT4	Indispensable	0,30		Core
YOR260W	GCD1	Indispensable	0,36		Core
YOR261C	RPN8	Indispensable	0,22		Core
YOR262W	YOR262W	Indispensable	0,40		Core
YOR272W	YTM1		0,14		Core
YOR287C	RRP36		0,26		Core
YOR294W	RRS1	Indispensable	0,17		Core
YOR310C	NOP58	Indispensable	0,13		Core
YOR319W	HSH49	Indispensable	0,27		Core
YOR326W	MYO2		0,49		Core
YOR329C	SCD5	Indispensable	0,76		Core
YOR335C	ALA1		0,36		Core
YOR340C	RPA43	Indispensable	0,25		Core
YOR341W	RPA190	Indispensable	0,22		Core
YOR361C	PRT1		0,20		Core
YOR362C	PRE10	Indispensable	0,21		Core
YOR370C	MRS6		0,43		Core
YPL010W	RET3		0,45		Core
YPL011C	TAF3	Indispensable	0,45		Core
YPL012W	RRP12		0,19		Core
YPL028W	ERG10	Indispensable	0,49		Core
YPL043W	NOP4	Indispensable	0,25		Core
YPL063W	TIM50	Indispensable	0,38		Core
YPL083C	SEN54	Indispensable	0,27		Core
YPL085W	SEC16	Indispensable	0,64		Core
YPL093W	NOG1	Indispensable	0,12		Core
YPL094C	SEC62		0,36		Core
YPL117C	IDI1	Indispensable	0,39		Core
YPL122C	TFB2	Indispensable	0,44		Core
YPL124W	SPC29		0,45		Core
YPL126W	NAN1	Indispensable	0,15		Core
YPL131W	RPL5	Indispensable	0,18		Core
YPL146C	NOP53		0,34		Core
YPL151C	PRP46	Indispensable	0,15		Core
YPL160W	CDC60	Indispensable	0,21		Core
YPL175W	SPT14	Indispensable	0,51		Core
YPL190C	NAB3		0,49		Core
YPL209C	IPL1	Indispensable	0,54		Core
YPL211W	NIP7	Indispensable	0,21		Core
YPL217C	BMS1	Indispensable	0,18		Core
YPL218W	SAR1		0,44		Core
YPL228W	CET1	Indispensable	0,47		Core
YPL233W	NSL1	Indispensable	0,38		Core
YPL235W	RVB2		0,24		Core
YPL237W	SUI3		0,24		Core
YPL252C	YAH1		0,50		Core
YPL266W	DIM1	Indispensable	0,18		Core
YPR010C	RPA135	Indispensable	0,15		Core
YPR016C	TIF6	Indispensable	0,49		Core
YPR019W	MCM4	Indispensable	0,22		Core
YPR025C	CCL1		0,32		Core
YPR033C	HTS1	Indispensable	0,23		Core
YPR035W	GLN1	Indispensable	0,43		Core
YPR041W	TIF5	Indispensable	0,28		Core
YPR048W	TAH18	Indispensable	0,52		Core
YPR055W	SEC8	Indispensable	0,43		Core
YPR056W	TFB4	Indispensable	0,24		Core
YPR082C	DIB1	Indispensable	0,34		Core
YPR085C	ASA1	Indispensable	0,46		Core
YPR086W	SUA7	Indispensable	0,44		Core
YPR094W	RDS3	Indispensable	0,29		Core
YPR107C	YTH1	Indispensable	0,24		Core
YPR108W	RPN7	Indispensable	0,39		Core
YPR110C	RPC40	Indispensable	0,13		Core
YPR112C	MRD1	Indispensable	0,22		Core
YPR113W	PIS1		0,49		Core
YPR133C	SPN1	Indispensable	0,59		Core
YPR137W	RRP9	Indispensable	0,20		Core
YPR143W	RRP15	Indispensable	0,31		Core
YPR162C	ORC4		0,36		Core
YPR165W	RHO1	Indispensable	0,41		Core
YPR175W	DPB2	Indispensable	0,25		Core
YPR176C	BET2	Indispensable	0,41		Core
YPR178W	PRP4	Indispensable	0,21		Core
YPR180W	AOS1	Indispensable	0,52		Core
YPR181C	SEC23		0,27		Core
YPR182W	SMX3	Indispensable	0,32		Core
YPR183W	DPM1	Indispensable	0,32		Core
YPR186C	PZF1	Indispensable	0,66		Core
YPR187W	RPO26		0,24		Core
YPR190C	RPC82		0,22		Core
YAR019C	CDC15	Dispensable	0,59	Dispensable	Dispensable
YBL014C	RRN6		0,61	Dispensable	Dispensable
YBL030C	PET9		0,61		Dispensable
YBL034C	STU1	Dispensable	0,53		Dispensable
YBL040C	ERD2	Dispensable	0,55	Dispensable	Dispensable
YBL105C	PKC1	Dispensable	0,53	Dispensable	Dispensable
YBR002C	RER2	Dispensable	0,39	Dispensable	Dispensable
YBR038W	CHS2	Dispensable	0,71		Dispensable
YBR070C	ALG14		0,53		Dispensable
YBR136W	MEC1		0,62	Dispensable	Dispensable
YBR192W	RIM2	Dispensable	0,56	Dispensable	Dispensable
YBR252W	DUT1	Dispensable	0,41		Dispensable
YCL004W	PGS1		0,55	Dispensable	Dispensable
YDL003W	MCD1	Dispensable	0,36		Dispensable
YDL004W	ATP16	Dispensable	0,48		Dispensable
YDL058W	USO1		0,54		Dispensable
YDL084W	SUB2	Dispensable	0,24	Dispensable	Dispensable
YDL092W	SRP14	Dispensable	0,65	Dispensable	Dispensable
YDL105W	NSE4	Dispensable	0,41		Dispensable
YDL120W	YFH1	Dispensable	0,55	Dispensable	Dispensable
YDL165W	CDC36	Dispensable	0,36		Dispensable
YDL205C	HEM3		0,53		Dispensable
YDL212W	SHR3	Dispensable	0,58		Dispensable
YDL217C	TIM22		0,51		Dispensable
YDL220C	CDC13		0,59		Dispensable
YDL235C	YPD1	Dispensable	0,73	Dispensable	Dispensable
YDR047W	HEM12		0,52		Dispensable
YDR050C	TPI1		0,56	Dispensable	Dispensable
YDR081C	PDC2	Dispensable	0,66	Dispensable	Dispensable
YDR082W	STN1	Dispensable	0,49		Dispensable
YDR141C	DOP1	Dispensable	0,51		Dispensable
YDR160W	SSY1		0,77	Dispensable	Dispensable
YDR170C	SEC7		0,64		Dispensable
YDR177W	UBC1		0,57	Dispensable	Dispensable
YDR189W	SLY1		0,51		Dispensable
YDR208W	MSS4		0,60		Dispensable
YDR243C	PRP28	Dispensable	0,18	Dispensable	Dispensable
YDR292C	SRP101		0,57	Dispensable	Dispensable
YDR353W	TRR1	Dispensable	0,53	Dispensable	Dispensable
YDR373W	FRQ1	Dispensable	0,59		Dispensable
YDR381W	YRA1	Dispensable	0,47	Dispensable	Dispensable
YDR397C	NCB2	Dispensable	0,51	Dispensable	Dispensable
YDR427W	RPN9	Dispensable	0,08		Dispensable
YDR468C	TLG1	Dispensable	0,60		Dispensable
YDR487C	RIB3	Dispensable	0,48		Dispensable
YDR499W	LCD1		0,54	Dispensable	Dispensable
YDR510W	SMT3		0,52		Dispensable
YEL034W	HYP2	Dispensable	0,59		Dispensable
YEL035C	YEL035C	Dispensable	0,68		Dispensable
YER008C	SEC3		0,51	Dispensable	Dispensable
YER009W	NTF2	Dispensable	0,50	Dispensable	Dispensable
YER036C	ARB1	Dispensable	0,44		Dispensable
YER074W-A	YOS1		0,57		Dispensable
YER093C	TSC11	Dispensable	0,64		Dispensable
YER112W	LSM4	Dispensable	0,29		Dispensable
YER147C	SCC4	Dispensable	0,55		Dispensable
YER159C	BUR6	Dispensable	0,51	Dispensable	Dispensable
YER165W	PAB1	Dispensable	0,32	Dispensable	Dispensable
YFL024C	EPL1	Dispensable	0,34		Dispensable
YFL034C-B	MOB2		0,54	Dispensable	Dispensable
YFR028C	CDC14	Dispensable	0,40		Dispensable
YGL018C	JAC1	Dispensable	0,45		Dispensable
YGL092W	NUP145		0,57	Dispensable	Dispensable
YGL093W	SPC105	Dispensable	0,37		Dispensable
YGL098W	USE1		0,56		Dispensable
YGL111W	NSA1	Dispensable	0,31	Dispensable	Dispensable
YGL150C	INO80	Dispensable	0,46	Dispensable	Dispensable
YGL169W	SUA5	Dispensable	0,43	Dispensable	Dispensable
YGL172W	NUP49	Dispensable	0,52	Dispensable	Dispensable
YGL225W	VRG4	Dispensable	0,49		Dispensable
YGR065C	VHT1	Dispensable	0,58		Dispensable
YGR098C	ESP1		0,53		Dispensable
YGR119C	NUP57	Dispensable	0,54	Dispensable	Dispensable
YGR147C	NAT2	Dispensable	0,68		Dispensable
YGR172C	YIP1	Dispensable	0,55		Dispensable
YGR198W	YPP1	Dispensable	0,60	Dispensable	Dispensable
YGR216C	GPI1	Dispensable	0,29		Dispensable
YGR280C	PXR1	Dispensable	0,23		Dispensable
YHR042W	NCP1	Dispensable	0,49	Dispensable	Dispensable
YHR058C	MED6	Dispensable	0,57		Dispensable
YHR070W	TRM5	Dispensable	0,48	Dispensable	Dispensable
YHR164C	DNA2		0,54	Dispensable	Dispensable
YHR199C-A	NBL1		0,52		Dispensable
YIL031W	ULP2	Dispensable	0,72	Dispensable	Dispensable
YIL048W	NEO1		0,59	Dispensable	Dispensable
YIL051C	MMF1	Dispensable	0,57	Dispensable	Dispensable
YIL063C	YRB2	Dispensable	0,62	Dispensable	Dispensable
YIL115C	NUP159	Dispensable	0,56		Dispensable
YIL118W	RHO3		0,62	Dispensable	Dispensable
YIL129C	TAO3	Dispensable	0,65	Dispensable	Dispensable
YIL147C	SLN1	Dispensable	0,66	Dispensable	Dispensable
YIL150C	MCM10		0,56		Dispensable
YJL005W	CYR1		0,55		Dispensable
YJL019W	MPS3		0,53	Dispensable	Dispensable
YJL025W	RRN7		0,56		Dispensable
YJL076W	NET1	Dispensable	0,56	Dispensable	Dispensable
YJL085W	EXO70		0,56		Dispensable
YJL097W	PHS1		0,52		Dispensable
YJL156C	SSY5	Dispensable	0,66	Dispensable	Dispensable
YJL174W	KRE9	Dispensable	0,54	Dispensable	Dispensable
YJR016C	ILV3		0,55		Dispensable
YJR017C	ESS1	Dispensable	0,60	Dispensable	Dispensable
YJR022W	LSM8	Dispensable	0,16		Dispensable
YJR076C	CDC11	Dispensable	0,33	Dispensable	Dispensable
YJR136C	TTI2		0,53		Dispensable
YJR141W	IPA1		0,56		Dispensable
YKL006C-A	SFT1		0,64	Dispensable	Dispensable
YKL018W	SWD2	Dispensable	0,36	Dispensable	Dispensable
YKL049C	CSE4		0,52		Dispensable
YKL089W	MIF2		0,51		Dispensable
YKL122C	SRP21	Dispensable	0,60	Dispensable	Dispensable
YKL154W	SRP102	Dispensable	0,60	Dispensable	Dispensable
YKL180W	RPL17A		0,56	Dispensable	Dispensable
YKL189W	HYM1		0,57	Dispensable	Dispensable
YKL192C	ACP1		0,53		Dispensable
YKL203C	TOR2	Dispensable	0,45	Dispensable	Dispensable
YKR004C	ECM9	Dispensable	0,58		Dispensable
YKR038C	KAE1	Dispensable	0,42	Dispensable	Dispensable
YLR010C	TEN1	Dispensable	0,51		Dispensable
YLR022C	SDO1		0,58	Dispensable	Dispensable
YLR099W-A	MIM2		0,74		Dispensable
YLR141W	RRN5	Dispensable	0,63		Dispensable
YLR153C	ACS2	Dispensable	0,28		Dispensable
YLR310C	CDC25	Dispensable	0,66	Dispensable	Dispensable
YLR359W	ADE13	Dispensable	0,42	Dispensable	Dispensable
YML043C	RRN11	Dispensable	0,48		Dispensable
YML064C	TEM1	Dispensable	0,52	Dispensable	Dispensable
YML104C	MDM1		0,63		Dispensable
YML105C	SEC65	Dispensable	0,66	Dispensable	Dispensable
YMR028W	TAP42		0,51		Dispensable
YMR033W	ARP9	Dispensable	0,48	Dispensable	Dispensable
YMR047C	NUP116	Dispensable	0,61	Dispensable	Dispensable
YMR079W	SEC14	Dispensable	0,45	Dispensable	Dispensable
YMR094W	CTF13		0,54		Dispensable
YMR134W	YMR134W	Dispensable	0,64	Dispensable	Dispensable
YMR185W	RTP1		0,52	Dispensable	Dispensable
YMR197C	VTI1		0,58		Dispensable
YMR211W	DML1	Dispensable	0,47		Dispensable
YMR218C	TRS130		0,50		Dispensable
YMR270C	RRN9	Dispensable	0,50	Dispensable	Dispensable
YMR298W	LIP1		0,55	Dispensable	Dispensable
YMR308C	PSE1	Dispensable	0,38	Dispensable	Dispensable
YNL006W	LST8	Dispensable	0,46	Dispensable	Dispensable
YNL024C-A	KSH1		0,58		Dispensable
YNL103W	MET4	Dispensable	0,55	Dispensable	Dispensable
YNL118C	DCP2	Dispensable	0,32	Dispensable	Dispensable
YNL137C	NAM9	Dispensable	0,36		Dispensable
YNL152W	INN1	Dispensable	0,62	Dispensable	Dispensable
YNL163C	RIA1	Dispensable	0,55	Dispensable	Dispensable
YNL181W	YNL181W	Dispensable	0,46	Dispensable	Dispensable
YNL258C	DSL1		0,56		Dispensable
YNL263C	YIF1		0,54		Dispensable
YNL267W	PIK1		0,52		Dispensable
YNL306W	MRPS18	Dispensable	0,28		Dispensable
YNR046W	TRM112	Dispensable	0,48	Dispensable	Dispensable
YOL010W	RCL1	Dispensable	0,10		Dispensable
YOL022C	TSR4	Dispensable	0,36	Dispensable	Dispensable
YOL026C	MIM1	Dispensable	0,64	Dispensable	Dispensable
YOL034W	SMC5	Dispensable	0,28		Dispensable
YOL078W	AVO1	Dispensable	0,72		Dispensable
YOL120C	RPL18A	Dispensable	0,49		Dispensable
YOL130W	ALR1	Dispensable	0,52	Dispensable	Dispensable
YOL149W	DCP1	Dispensable	0,28		Dispensable
YOR020C	HSP10		0,51		Dispensable
YOR074C	CDC21		0,59		Dispensable
YOR077W	RTS2	Dispensable	0,52		Dispensable
YOR122C	PFY1	Dispensable	0,49	Dispensable	Dispensable
YOR160W	NET1	Dispensable	0,46	Dispensable	Dispensable
YOR167C	RPS28A	Dispensable	0,61	Dispensable	Dispensable
YOR181W	LAS17	Dispensable	0,56		Dispensable
YOR182C	RPS30B	Dispensable	0,55		Dispensable
YOR204W	DED1		0,56		Dispensable
YOR236W	DFR1		0,63		Dispensable
YOR244W	ESA1	Dispensable	0,29		Dispensable
YOR256C	TRE2		0,60		Dispensable
YOR281C	PLP2	Dispensable	0,59		Dispensable
YOR336W	KRE5		0,55	Dispensable	Dispensable
YOR353C	SOG2	Dispensable	0,67	Dispensable	Dispensable
YOR372C	NDD1	Dispensable	0,60	Dispensable	Dispensable
YOR373W	NUD1		0,63		Dispensable
YPL007C	TFC8		0,51		Dispensable
YPL016W	SWI1	Dispensable	0,51	Dispensable	Dispensable
YPL020C	ULP1		0,73		Dispensable
YPL075W	GCR1	Dispensable	0,61		Dispensable
YPL076W	GPI2	Dispensable	0,41		Dispensable
YPL128C	TBF1		0,52		Dispensable
YPL143W	RPL33A	Dispensable	0,45		Dispensable
YPL169C	MEX67		0,52		Dispensable
YPL210C	SRP72	Dispensable	0,50	Dispensable	Dispensable
YPL242C	IQG1	Dispensable	0,63		Dispensable
YPL243W	SRP68	Dispensable	0,39		Dispensable
YPL255W	BBP1		0,51		Dispensable
YPL268W	PLC1	Dispensable	0,62		Dispensable
YPR034W	ARP7	Dispensable	0,54		Dispensable
YPR088C	SRP54	Dispensable	0,34	Dispensable	Dispensable
YPR104C	FHL1	Dispensable	0,45		Dispensable
YPR144C	NOC4	Dispensable	0,16		Dispensable
YPR161C	SGV1	Dispensable	0,45	Dispensable	Dispensable
YPR168W	NUT2	Dispensable	0,53		Dispensable
YPR169W	JIP5	Dispensable	0,28		Dispensable
YBR140C	IRA1	Indispensable	0,62	Dispensable	Not further classified
YBR152W	SPP381	Indispensable	0,33	Dispensable	Not further classified
YDL017W	CDC7	Indispensable	0,37	Dispensable	Not further classified
YDR052C	DBF4	Indispensable	0,61	Dispensable	Not further classified
YDR087C	RRP1	Indispensable	0,37	Dispensable	Not further classified
YDR166C	SEC5	Indispensable	0,34	Dispensable	Not further classified
YDR240C	SNU56	Indispensable	0,25	Dispensable	Not further classified
YEL019C	MMS21	Indispensable	0,40	Dispensable	Not further classified
YER043C	SAH1		0,44	Dispensable	Not further classified
YER104W	RTT105	Indispensable	0,65	Dispensable	Not further classified
YER146W	LSM5		0,28	Dispensable	Not further classified
YER157W	COG3		0,30	Dispensable	Not further classified
YFL029C	CAK1		0,46	Dispensable	Not further classified
YFL038C	YPT1		0,39	Dispensable	Not further classified
YFR027W	ECO1	Indispensable	0,55	Dispensable	Not further classified
YFR029W	PTR3	Indispensable	0,65	Dispensable	Not further classified
YGL075C	MPS2	Indispensable	0,58	Dispensable	Not further classified
YGL128C	CWC23		0,34	Dispensable	Not further classified
YGR046W	TAM41		0,44	Dispensable	Not further classified
YGR120C	COG2	Indispensable	0,43	Dispensable	Not further classified
YHR007C	ERG11		0,40	Dispensable	Not further classified
YHR023W	MYO1	Indispensable	0,66	Dispensable	Not further classified
YHR101C	BIG1	Indispensable	0,60	Dispensable	Not further classified
YIL046W	MET30		0,48	Dispensable	Not further classified
YIL106W	MOB1		0,36	Dispensable	Not further classified
YIR006C	PAN1	Indispensable	0,58	Dispensable	Not further classified
YJL010C	NOP9	Indispensable	0,16	Dispensable	Not further classified
YJR042W	NUP85		0,44	Dispensable	Not further classified
YJR089W	BIR1		0,49	Dispensable	Not further classified
YKL141W	SDH3		0,48	Dispensable	Not further classified
YLR007W	NSE1	Indispensable	0,39	Dispensable	Not further classified
YLR186W	EMG1	Indispensable	0,20	Dispensable	Not further classified
YLR208W	SEC13	Indispensable	0,29	Dispensable	Not further classified
YLR215C	CDC123	Indispensable	0,46	Dispensable	Not further classified
YLR223C	IFH1	Indispensable	0,56	Dispensable	Not further classified
YLR305C	STT4	Indispensable	0,60	Dispensable	Not further classified
YML091C	RPM2		0,48	Dispensable	Not further classified
YMR200W	ROT1	Indispensable	0,62	Dispensable	Not further classified
YMR239C	RNT1		0,16	Dispensable	Not further classified
YMR296C	LCB1	Indispensable	0,31	Dispensable	Not further classified
YNL007C	SIS1		0,49	Dispensable	Not further classified
YNL161W	CBK1		0,49	Dispensable	Not further classified
YNL188W	KAR1	Indispensable	0,46	Dispensable	Not further classified
YOR060C	SLD7	Indispensable	0,67	Dispensable	Not further classified
YOR098C	NUP1	Indispensable	0,64	Dispensable	Not further classified
YOR278W	HEM4	Indispensable	0,50	Dispensable	Not further classified
YPL082C	MOT1		0,48	Dispensable	Not further classified
YPL153C	RAD53		0,45	Dispensable	Not further classified
YPL204W	HRR25	Indispensable	0,50	Dispensable	Not further classified
YPL231W	FAS2	Indispensable	0,42	Dispensable	Not further classified
YPR103W	PRE2		0,21	Dispensable	Not further classified
YPR105C	COG4		0,40	Dispensable	Not further classified
